               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.025898,            0.016245,           0.0039369,              0.8201,             0.73233,             0.79392,             0.53302,            0.029071,           0.0085139,           0.0025201,            0.007063,            0.007063,            0.007063
                  91,            0.026915,            0.016393,           0.0033664,             0.83028,             0.71622,             0.76986,              0.4991,            0.029587,           0.0084197,           0.0024705,             0.00703,             0.00703,             0.00703
                  92,            0.026273,            0.016516,           0.0034572,             0.83588,             0.71874,             0.78915,              0.5264,            0.029331,           0.0081632,           0.0024906,            0.006997,            0.006997,            0.006997
                  93,            0.026839,            0.016211,           0.0033019,             0.83435,             0.73786,             0.79203,             0.52561,            0.028929,           0.0085912,           0.0028541,            0.006964,            0.006964,            0.006964
                  94,            0.025242,             0.01551,           0.0037054,             0.84351,             0.71946,             0.78965,             0.53411,            0.028475,           0.0085454,           0.0035188,            0.006931,            0.006931,            0.006931
                  95,            0.025335,            0.016089,            0.003369,             0.82548,             0.71695,             0.78844,             0.52365,            0.028753,           0.0083532,           0.0031561,            0.006898,            0.006898,            0.006898
                  96,            0.025914,            0.016132,           0.0033442,             0.83166,             0.70619,             0.77421,             0.51015,            0.029125,           0.0085689,           0.0034719,            0.006865,            0.006865,            0.006865
                  97,            0.027247,            0.016464,           0.0033676,             0.84238,             0.72368,             0.79025,             0.52212,            0.029492,           0.0086277,            0.002969,            0.006832,            0.006832,            0.006832
                  98,            0.026445,            0.016227,           0.0034195,             0.83787,             0.72661,              0.7822,             0.51683,            0.030194,           0.0085066,           0.0036017,            0.006799,            0.006799,            0.006799
                  99,             0.02639,            0.016234,           0.0039317,             0.79892,             0.72908,             0.78043,             0.51831,             0.02962,           0.0083697,           0.0033217,            0.006766,            0.006766,            0.006766
                 100,            0.026688,             0.01623,           0.0032905,             0.82766,             0.72238,             0.77981,             0.52332,             0.02924,           0.0086034,           0.0036479,            0.006733,            0.006733,            0.006733
                 101,             0.02543,            0.015838,           0.0031994,             0.79017,             0.72049,             0.77398,              0.5115,            0.030071,           0.0084062,           0.0039286,              0.0067,              0.0067,              0.0067
                 102,            0.025154,            0.015543,           0.0031051,             0.87255,             0.74074,             0.79539,              0.5345,            0.028359,           0.0082259,           0.0030195,            0.006667,            0.006667,            0.006667
                 103,            0.025687,            0.015926,           0.0035387,             0.85033,             0.72586,             0.79415,             0.53535,            0.028537,           0.0085419,           0.0032597,            0.006634,            0.006634,            0.006634
                 104,            0.025766,            0.015937,           0.0036392,              0.8405,             0.71331,             0.77121,             0.51726,            0.029972,           0.0084924,           0.0039047,            0.006601,            0.006601,            0.006601
                 105,            0.025751,             0.01592,           0.0040401,              0.8519,             0.69839,             0.77646,             0.51756,            0.029638,           0.0083417,           0.0037605,            0.006568,            0.006568,            0.006568
                 106,             0.02579,            0.015666,            0.002935,             0.86726,             0.72567,              0.7932,             0.52876,            0.029645,            0.008478,           0.0025694,            0.006535,            0.006535,            0.006535
                 107,            0.024389,            0.015656,           0.0033394,             0.83279,             0.73968,              0.7964,             0.53986,            0.028638,           0.0086017,           0.0030406,            0.006502,            0.006502,            0.006502
                 108,            0.024986,            0.015497,           0.0034152,             0.83684,             0.72857,             0.79347,             0.53545,            0.029647,           0.0085269,           0.0029888,            0.006469,            0.006469,            0.006469
                 109,            0.024788,            0.015449,           0.0028027,             0.85751,             0.71876,             0.79053,             0.54114,            0.029243,           0.0083684,             0.00322,            0.006436,            0.006436,            0.006436
                 110,            0.025086,             0.01565,           0.0029709,             0.85214,             0.70982,             0.78501,             0.54047,             0.02908,           0.0086368,           0.0034313,            0.006403,            0.006403,            0.006403
                 111,            0.024803,            0.015516,           0.0025407,             0.84827,             0.72135,             0.79335,             0.53453,            0.028941,            0.008449,           0.0029684,             0.00637,             0.00637,             0.00637
                 112,            0.024626,            0.015617,           0.0029787,              0.8409,             0.73481,             0.79081,             0.53113,             0.02924,           0.0086143,           0.0028957,            0.006337,            0.006337,            0.006337
                 113,            0.025093,             0.01565,           0.0033836,             0.82285,             0.74448,             0.80182,             0.53768,            0.028122,           0.0084786,           0.0024383,            0.006304,            0.006304,            0.006304
                 114,            0.024408,            0.015525,            0.002682,             0.85131,             0.72843,             0.79048,             0.53567,            0.028769,           0.0085075,           0.0027741,            0.006271,            0.006271,            0.006271
                 115,            0.024464,            0.015268,           0.0027647,             0.86491,             0.72948,             0.79334,               0.542,            0.028417,           0.0084554,           0.0031158,            0.006238,            0.006238,            0.006238
                 116,            0.023939,            0.014985,           0.0027402,             0.87656,             0.70534,             0.78267,             0.53435,            0.029091,           0.0086697,           0.0030378,            0.006205,            0.006205,            0.006205
                 117,            0.024996,            0.015169,           0.0031985,             0.87098,             0.70798,             0.79615,              0.5484,            0.029427,           0.0086253,           0.0029528,            0.006172,            0.006172,            0.006172
                 118,            0.024468,            0.015152,           0.0035769,             0.85297,             0.72983,              0.7958,             0.55111,            0.028682,           0.0086991,            0.002958,            0.006139,            0.006139,            0.006139
                 119,            0.024385,             0.01493,           0.0031264,             0.86561,             0.71586,              0.7954,             0.54301,            0.029007,           0.0084642,           0.0030826,            0.006106,            0.006106,            0.006106
                 120,            0.023999,            0.015114,           0.0028258,             0.82825,             0.72584,             0.79339,             0.53904,            0.028316,           0.0084454,           0.0023587,            0.006073,            0.006073,            0.006073
                 121,            0.024675,            0.015362,           0.0031216,             0.87861,             0.72044,             0.80467,             0.53741,            0.028841,           0.0082186,           0.0023622,             0.00604,             0.00604,             0.00604
                 122,            0.024041,            0.015171,           0.0028152,             0.86385,             0.74157,             0.80535,             0.53609,            0.028416,           0.0084141,           0.0021143,            0.006007,            0.006007,            0.006007
                 123,            0.025055,            0.015174,           0.0030543,             0.85741,             0.74176,              0.8074,             0.55057,            0.028228,           0.0082401,           0.0022652,            0.005974,            0.005974,            0.005974
                 124,            0.024085,            0.015098,           0.0030489,             0.85792,             0.75303,             0.80003,              0.5389,            0.028627,           0.0085443,           0.0020702,            0.005941,            0.005941,            0.005941
                 125,            0.024208,             0.01523,           0.0024813,             0.84305,             0.75002,             0.80666,             0.54008,            0.028312,           0.0083891,           0.0025057,            0.005908,            0.005908,            0.005908
                 126,             0.02429,            0.015245,           0.0029887,             0.81331,             0.73971,             0.78302,             0.54438,             0.02892,           0.0084969,           0.0029314,            0.005875,            0.005875,            0.005875
